1550369065.8599,2036.8442,10024.2283,55.42,0.51,1.0,5.0
1550369067.1768,2036.8426,10024.2298,34.80,0.09,1.0,4.0
1550369067.8505,2036.8413,10024.2308,154.39,0.13,1.0,4.0
1550369068.8616,2036.8412,10024.2307,157.67,0.11,1.0,4.0
1550369069.8733,2036.8412,10024.2307,275.35,0.07,1.0,4.0
1550369070.8902,2036.8412,10024.2308,169.69,0.08,1.0,4.0
1550369072.1699,2036.8413,10024.2308,91.01,0.36,1.0,4.0
1550369072.8416,2036.8417,10024.2305,85.44,0.34,1.0,4.0
1550369073.8533,2036.8425,10024.2301,89.17,0.33,1.0,4.0
1550369074.8651,2036.8431,10024.2295,67.23,0.72,1.0,4.0
1550369075.8406,2036.8443,10024.2291,53.48,0.54,1.0,4.0
1550369077.1575,2036.8457,10024.2285,77.35,0.50,1.0,4.0
1550369077.8626,2036.8462,10024.2284,67.47,0.40,1.0,4.0
1550369078.8426,2036.8469,10024.2282,46.68,0.39,1.0,4.0
1550369079.8625,2036.8473,10024.2276,52.70,0.49,1.0,4.0
1550369080.8425,2036.8474,10024.2275,48.01,0.65,1.0,4.0
1550369082.1625,2036.8476,10024.2271,44.06,1.01,1.0,4.0
1550369082.8625,2036.8473,10024.2269,63.91,0.91,1.0,4.0
1550369083.8739,2036.8475,10024.2265,52.27,1.15,1.0,4.0
1550369084.8415,2036.8478,10024.2260,59.66,1.20,1.0,4.0
1550369085.8619,2036.8481,10024.2255,69.89,1.27,1.0,4.0
1550369087.4097,2036.8483,10024.2254,61.54,1.09,1.0,4.0
1550369087.8737,2036.8488,10024.2252,39.96,1.18,1.0,4.0
1550369088.8600,2036.8492,10024.2252,30.71,1.12,1.0,4.0
1550369089.9861,2036.8497,10024.2250,26.37,1.10,1.0,4.0
1550369090.9542,2036.8503,10024.2254,359.45,1.32,1.0,4.0
1550369092.1712,2036.8509,10024.2254,357.50,1.45,1.0,4.0
1550369092.8709,2036.8511,10024.2255,354.07,1.14,1.0,4.0
1550369094.2221,2036.8514,10024.2257,350.82,1.26,1.0,4.0
1550369095.1068,2036.8519,10024.2262,341.32,1.60,1.0,4.0
